spiers : sir, pes
spies : sis, pe
splays : sly, pas
sporty : sot, pry
sprains : sris, pan
spurning : sunn, prig
spying : syn, pig
stained : sand, tie
steal : sel, ta
stein : sen, ti
steins : sen, tis
stoa : so, ta
stoat : sot, ta
stourie : sore, tui
straits : sris, tat
suit : si, ut
suits : sis, ut
swails : sal, wis
swarty : sat, wry
swears : ser, was
sweer : ser, we
sweetest : sets, weet
swoop : sop, wo
swoops : sop, wos
tailles : tils, ale
team : ta, em
tear : ta, er
teas : ta, es
teat : ta, et
thairms : tars, him
theorem : term, hoe
theorems : term, hoes
toad : ta, od
toast : tat, os
toiled : tie, old
treed : ted, re
trienes : tins, ree
tries : tis, re
triose : tis, roe
triunes : tins, rue
troupe : top, rue
troupes : tops, rue
tuis : ti, us
twae : ta, we
tweed : ted, we
ulna : un, la
ulnas : uns, la
unrent : urn, net
unto : ut, no
upkeep : uke, pep
vainness : vins, anes
veins : vis, en
voidness : vins, odes
voids : vis, od
waists : wit, ass
weakness : wans, ekes
weans : was, en
wears : was, er
ween : we, en
weer : we, er
wees : we, es
weet : we, et
weirdoes : wide, eros
weirs : wis, er
wheens : wen, hes
woads : was, od
woeness : wees, ons
woes : we, os
wood : wo, od
woods : wos, od
wooled : woe, old
woos : wo, os
wordy : wry, od
worry : wry, or
wounds : wud, ons
wreaths : wets, rah
wries : wis, re
